Nome da Publicação,Área,Tipo de material,Tópicos / Assuntos,Órgão/Instituição,Idioma,Arquivo,Link p/ acesso
Informações e materiais - WARAO,Intérpretação,Documento com links,,variadas,"Português,Warao",Indígenas warao material.pdf (https://dl.airtable.com/.attachments/867f0a1d355b5ac473e3df9e84a5e49f/bba4d58a/Indgenaswaraomaterial.pdf),
Guidelines for interpreting remotely in the healthcare setting for interpreters,Intérpretação,Orientações,,eCALD /  Waitematā District Health Board (WDHB),Inglês,Handout-2-Module-201-Guidelines.pdf (https://dl.airtable.com/.attachments/4feaf0228037985c2325a8f4c81586b0/ecc0b6c7/Handout-2-Module-201-Guidelines.pdf),
A national code of ethics for interpreters in healthcare,Intérpretação,Código de ética,,The National Council on Interpreting in Health Care - NCIHC,Inglês,NCIHC National Code of Ethics.pdf (https://dl.airtable.com/.attachments/3d090a65aab334b62281833d345e194d/4b96ee58/NCIHCNationalCodeofEthics.pdf),
Providing Interpreting Services During COVID-19,Intérpretação,Cartilha,,ALC / ATA / CCHI / CHIA / CºPTIC / NCIHC / InterpretAmerica,Inglês,Covid_Best_Practices_Guide (1).pdf (https://dl.airtable.com/.attachments/571b1ada9ce364998eb5576f5e5c36aa/07f8dc26/Covid_Best_Practices_Guide1.pdf),
Materiais infirmativos multilíngue sobre Covid-19,Informativo,Documento com links,Links úteis,variadas,Português,material informativo sobre covid multilingue.pdf (https://dl.airtable.com/.attachments/61cb5ce57ed09e2b10376d00cf6ce9a8/7aa2bf4c/materialinformativosobrecovidmultilingue.pdf),
Informações - Cartilha e Podcasts - Digmar Jiménez,Informativo,Documento com links,Links úteis,variadas,Português,Cartilhas informativas sobre COVID-19 para noroeste amazônico.pdf (https://dl.airtable.com/.attachments/8a91a4f82797f9b806009134204ecee5/b4bc38d1/CartilhasinformativassobreCOVID-19paranoroesteamaznico.pdf),
Repositório de materiais relacionados ao COVID - vários idiomas,Informativo,"Cartilhas, folders, Cards e mídias",Links úteis,variadas,,,https://trello.com/b/Kob3R0Nh/r4v-covid-19-content
Coronavirus Advice - Lates government guidance translated into 60 languages,Informativo,Panfleto,"O que é COVID-19 (Corona vírus),Sintomas,Isolamento Social,Transmissão,Covid e Imigração,Cuidados pessoais",UK Government - United Kingdom National Health Service,VARIADOS,English-Covid19-Guidance.pdf (https://dl.airtable.com/.attachments/205a5d8c638e112895cf0ad94a24a103/32a5c2d2/English-Covid19-Guidance.pdf),https://www.doctorsoftheworld.org.uk/coronavirus-information/?fbclid=IwAR2xmS843EULmYPOmM5IXex6gjRDaJ0wfjJTZNXwLWLXiOHyG_jjyJp3Edc
Cartilha Poliglota - Comunicação sobre saúde com Indígenas Warao e Eñepa,Informativo,Cartilha,"Saúde indígena,Folclore Indígena,""Doenças respiratórias (Gripe, asma, tuberculose...)"",Direito à saúde do solicitante de refúgio,Medicina tradicional Warao,Medicina tradicional Eñepa,Diagnósticos,Recomendações",ACNUR / FRATERNIDADE Federação Humanitária Internacional,"Espanhol,Português,Warao",Cartilha Saúde Indígenas Warao e Eñepa español portugues.pdf (https://dl.airtable.com/.attachments/7553d72c8140c5e4d1dff9eedba4153e/dd76051c/CartilhaSadeIndgenasWaraoeEepaespaolportugues.pdf),
Manitas Brilhantes,Informativo,Cartilha,"Atividades Infantis,Educação infantil,Higiene pessoal,Hábitos saudáveis",Cáritas Brasileira,"Espanhol,Português",Cáritas cartilla manitas brillantes Crianças ES_POR.pdf (https://dl.airtable.com/.attachments/0fed8edbc5e4425f76bdd3e2b6ac9d00/9f193683/CritascartillamanitasbrillantesCrianasES_POR.pdf),
Cartilha COVID - Dâw,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",Instituto Socioambiental - ISA,Dâw,Covid_daw(1)(1)(1).pdf (https://dl.airtable.com/.attachments/8344fe8b883d59f1182805a098a1415b/22705a05/Covid_daw111.pdf),
Cartilha COVID - Baniwa,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",Instituto Socioambiental - ISA,Baniwa,Covid_baniwa(1)(5).pdf (https://dl.airtable.com/.attachments/f7229ab57af5518af41740352bd846fc/f89fa588/Covid_baniwa15.pdf),
Coronavírus - série pequenos cientistas,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,A Pandemia,Isolamento Social,Sintomas,Prevenção,Glossário pandêmico / Terminologia",UFMT,Português,Coronavírus_serie pequenos cientistas UFMT_Sinop.pdf (https://dl.airtable.com/.attachments/574014207284615d5301a1e27d2b445f/6119d1c8/Coronavirus_seriepequenoscientistasUFMT_Sinop.pdf),
Cartilha COVID - Neenhgat,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",Instituto Socioambiental - ISA,Neenhgat,Covid_neenhgatu(1)(1).pdf (https://dl.airtable.com/.attachments/3f4341c270b93d3526596390d89488d3/4b85264b/Covid_neenhgatu11.pdf),
Orientações de Acesso aos serviços de saúde em Curitiba,Informativo,Cartaz,"Sintomas,Se estiver infectado,Situação vacinal,Telefones úteis (Curitiba),Teleconsultas,Orientações gerais",UFPR / SUS,Português,Acesso à saúde Curitiba-Portugues.pdf (https://dl.airtable.com/.attachments/666f21afb514ee42e6e8e1c0f18b25b4/5c6be0cd/AcessosadeCuritiba-Portugues.pdf),
