Nome da Publicação,Temática,Tipo de material,Tópicos / Assuntos,Órgão/Instituição,Idioma,Arquivo,Link p/ acesso
Pueblo Warao - vamos a protejernos del colonavirus,Migrantes,Cartilha,"O que é COVID-19 (Corona vírus),Sintomas,Prevenção,Transmissão",UFPI,"Espanhol,Português,Warao","cartilla piajui espanol.pdf (https://dl.airtable.com/.attachments/90614b9db3b1b160e9a34279d6ffdee6/025004f0/cartillapiajuiespanol.pdf),cartilla piajuin warao.pdf (https://dl.airtable.com/.attachments/9d5506f8120615d48c95c1ef19763d33/680a572a/cartillapiajuinwarao.pdf),cartilla piajuin portugues.pdf (https://dl.airtable.com/.attachments/fb61bd7ca19577db2f1d38af073e34c6/b0b3a260/cartillapiajuinportugues.pdf)",https://drive.google.com/file/d/1ioQJ2f4KpSJkF4_tNMMCit_KLEyhknjW/view
Aviso de prevención contra el covid-19 em warao,Migrantes,Vídeo,"O que é COVID-19 (Corona vírus),Prevenção",FRATERNIDADE - Federação Humanitária Internacional,"Warao,Espanhol",,https://drive.google.com/file/d/1EtEcK8m1-plz4i_S9Z9MvfZxQ7YxLHkk/view
Proteção dos Trabalhadores Migrantes e Refugiados no Contexto da Covid-19,Migrantes,Site Informativo,"A Pandemia,Inserção Laboral,Exploração Laboral",Ministério da Economia - Governo Federal,"Português,Inglês,Francês,Árabe,Espanhol,Crioulo",,https://www.gov.br/trabalho/pt-br/acesso-a-informacao/acoes-e-programas/proteja
Coronavirus Advice - Lates government guidance translated into 60 languages,Migrantes,Panfleto,"O que é COVID-19 (Corona vírus),Sintomas,Isolamento Social,Transmissão,Covid e Imigração,Cuidados pessoais",UK Government - United Kingdom National Health Service,VARIADOS,English-Covid19-Guidance.pdf (https://dl.airtable.com/.attachments/205a5d8c638e112895cf0ad94a24a103/32a5c2d2/English-Covid19-Guidance.pdf),https://www.doctorsoftheworld.org.uk/coronavirus-information/?fbclid=IwAR2xmS843EULmYPOmM5IXex6gjRDaJ0wfjJTZNXwLWLXiOHyG_jjyJp3Edc
HELP ACNUR - Corona Vírus: Informações importantes,Migrantes,Artigo em site,"O que é COVID-19 (Corona vírus),Prevenção,""Atendimento à mulher, à criança, LGBTI, Terceira Idade, Psicossocial"",Documentação e CONARE,Interpretação gratuita,Prevenção do tráfico de pessoas e exploração do trabalho,Auxílio Emergencial,""Trabalho, renda e oportunidades"",Cadastro de currículo,Trânsito fronteiriço,""Indígenas Warao e Eñepa (página dedicada, com links)"",""Solicitação de refúgio, residência e naturalização"",Residência temporária para Haitianos,""Documentação (Carteira RNE, Certidão de condição de refugiado, CPF, CTPS, Passaporte)"",""Onde encontrar ajuda (Orientação legal, registro de solicitação de refúgio, recurso junto ao CONARE, orientações sobre meios de vida, assistência educacional e social"",Direitos e deveres do refugiado e do solicitante,""Programa de interiorização (funcionamento, modalidades e como se inscrever)"",""Legislação (Migração, Refugiados, Apátridas e Resoluções do CONARE"",Apatridia,""Viver no Brasil (Moradia/abrigamento, educação, trabalho e renda, saúde, atividade bancária)"",""Material informativo (Help, SISCONARE, Cartilha de Direitos Trabalhistas, Cartilha de Inclusão Financeira)"",Contate-nos (ACNUR)",ACNUR,Português,ACNUR HELP Brasil - COVID 19 Ajuda para refugiados e solicitantes de refúgio.pdf (https://dl.airtable.com/.attachments/13315a565ea7a06e376ad74d25ec3c65/b2226481/ACNURHELPBrasil-COVID19Ajudapararefugiadosesolicitantesderefgio.pdf),https://help.unhcr.org/brazil/coronavirus/
LA SALUD MENTAL DURANTE EL BROTE DE COVID-19,Migrantes,Folder,"Saúde mental durante a Pandemia,Cuidados pessoais,Atividades Infantis,Lazer e atividades lúdicas,Inteligência emocional,Agressão contra a mulher,Telefones úteis,Cansaço físico e mental",IMDH - ACNUR,Espanhol,Folder - IMDH - Versao 3 - Web (1).pdf (https://dl.airtable.com/.attachments/58d53958e8a1f6a2d53234bb2285ce00/e21ecbe6/Folder-IMDH-Versao3-Web1.pdf),
Novo Coronavirus - LA SALUD EN EL SUS ES UN DERECHO DE TODOS,Migrantes,Cartilha,"O que é COVID-19 (Corona vírus),Sintomas,Direito à saúde do solicitante de refúgio,Saúde pública gratuita",ACNUR / SUS / Governo do Rio de Janeiro,"Espanhol,Português",orientacoes GRJ_ES para_imigrantes_e_refugiados_coronavirus.pdf (https://dl.airtable.com/.attachments/74e865313c222713e968b72a92b973ed/17587967/orientacoesGRJ_ESpara_imigrantes_e_refugiados_coronavirus.pdf),
Brasil: Como limpar suas mãos 2 - População indígena Warao,Migrantes,Folder,"Cuidados pessoais,Higiene pessoal",OPS - OMS,Warao,jabon-limpiarse-las-manos_warao.pdf (https://dl.airtable.com/.attachments/ebf9c960395a4b410ebc42277b1d678b/6ec8dc10/jabon-limpiarse-las-manos_warao.pdf),
Resources for Language Access during COVID-19,Migrantes,Site com links informativos variados,"Links úteis,Acessibilidade Linguística,Glossário pandêmico / Terminologia,Interpretação médica,Covid e Imigração",The National Council on Interpreting in Health Care - NCIHC,Inglês,,https://ncihc.memberclicks.net/resources-for-covid-19
Impacto da Pandemia de Covid-19 nas Migrações Internacionais no Brasil - Resultados de Pesquisa,Migrantes,Resultado de Pesquisa,"Covid e Imigração,Resultado de Pesquisas,Características gerais dos respondentes,Aspectos da migração ao Brasil,Inserção laboral durante a pandemia,Direitos sociais e a pandemia",PUC Minas / UNICAMP,Português,COVID NAS MIGRAÇÕES INTERNACIONAIS.pdf (https://dl.airtable.com/.attachments/0fd14cdcbb1997b7e61aac3e24fc3958/f1938cb7/COVIDNASMIGRACOESINTERNACIONAIS.pdf),
